House_ID,Neighborhood,Monthly_Rent_EGP,Bedrooms,Has_Workspace,Allows_Pets,Quietness_Score,Natural_Light_Index,Soundproofing_Score,Greenery_Proximity,Air_Quality_Index,Walkability_Score,Wheelchair_Accessible,Elevator_Access,Smart_Home_Ready,Medical_Proximity_Score
1,Dokki,42524,5,0,0,3,7,2,2,10,5,0,0,0,8
2,New Capital,8414,3,1,0,3,3,10,7,5,10,0,1,1,10
3,Downtown Cairo,21494,3,1,0,3,4,8,5,10,2,1,0,0,7
4,Al Rehab,24437,1,1,0,10,6,8,10,10,6,1,1,0,4
5,Mohandeseen,7937,1,1,0,9,6,8,9,7,9,0,1,1,7
6,Dokki,40731,4,1,0,10,5,8,3,4,6,0,1,0,5
7,Faisal,25326,5,1,1,10,10,9,4,10,9,1,0,0,6
8,Al Rehab,42665,3,1,0,2,4,9,8,9,6,1,1,1,5
9,Al Rehab,12974,4,1,1,10,8,4,8,8,3,1,1,1,10
10,Sheikh Zayed,21500,3,0,1,2,9,9,9,10,3,1,1,0,4
11,Mohandeseen,5750,1,0,1,6,7,5,2,4,9,0,1,1,7
12,New Cairo,8027,5,1,1,5,8,8,7,6,4,1,1,0,7
13,Maadi,48296,2,1,0,9,6,6,4,6,3,1,1,1,4
14,El Shorouk,9745,5,0,0,6,6,5,3,6,2,1,0,0,7
15,Heliopolis,25448,2,1,0,10,7,5,2,3,5,1,1,0,7
16,Maadi,46447,4,0,0,2,9,7,10,4,4,1,1,0,7
17,Zamalek,32451,2,1,0,9,4,3,8,3,9,1,0,0,8
18,El Shorouk,32207,2,0,0,7,10,6,7,3,2,0,1,1,8
19,El Shorouk,9938,4,0,1,2,3,9,5,9,6,0,1,0,6
20,Helwan,16150,5,0,0,3,7,3,7,10,7,0,1,0,4
21,Madinaty,17406,4,0,0,5,3,6,9,3,2,1,1,1,5
22,Shoubra,23781,1,0,0,6,6,8,9,9,10,0,1,0,10
23,Downtown Cairo,41621,1,0,1,2,3,6,8,4,3,0,1,0,4
24,Downtown Cairo,22325,2,0,0,8,3,10,4,8,5,0,1,0,9
25,Faisal,7148,4,0,0,5,7,10,1,7,8,0,1,0,7
26,El Shorouk,32879,4,0,1,2,8,9,4,5,10,0,1,0,7
27,New Capital,11933,4,1,0,7,6,10,10,10,4,0,1,1,4
28,New Cairo,13436,5,1,1,10,4,3,10,4,3,0,1,1,7
29,Nasr City,21669,3,0,1,10,5,4,8,9,9,1,1,0,6
30,Faisal,10474,3,0,0,5,3,5,5,4,10,1,0,0,5
31,Dokki,15228,3,1,0,8,6,6,9,6,3,0,1,0,7

32,6th of October,37538,5,0,0,2,5,3,10,5,4,0,1,0,10
33,Dokki,5843,4,1,0,10,4,5,2,6,7,0,0,0,8
34,Haram,4073,3,0,1,2,5,5,2,7,4,0,1,0,9
35,Sheikh Zayed,20059,4,0,0,10,4,6,8,10,7,1,1,0,7
36,Mokattam,24733,2,0,1,7,10,7,6,8,7,1,1,1,9
37,Haram,44768,3,0,0,8,8,2,6,3,4,0,0,0,7
38,6th of October,29395,2,1,1,5,5,7,6,6,3,0,1,0,7
39,Maadi,24202,5,0,0,10,4,10,6,7,9,0,0,0,4
40,New Capital,17273,1,1,0,7,8,4,8,10,8,1,1,1,4
41,Downtown Cairo,37099,5,0,0,7,9,3,1,5,10,0,1,0,10
42,Dokki,11512,5,1,0,7,9,9,3,3,2,1,1,0,4
43,El Shorouk,32231,5,0,0,5,3,3,2,10,2,0,1,0,8
44,Mohandeseen,27274,3,0,0,8,5,9,7,7,2,0,1,0,6
45,Downtown Cairo,41699,2,1,0,3,4,5,6,6,2,0,0,0,6
46,New Cairo,49510,3,0,0,3,10,10,7,10,6,1,1,0,10
47,Mokattam,26409,1,1,0,7,6,5,8,7,3,0,1,0,4
48,Helwan,9113,5,1,1,10,7,2,2,7,5,0,0,0,9
49,Sheikh Zayed,45187,4,1,0,4,8,9,7,9,10,1,1,0,7
50,Haram,6881,1,0,1,8,5,2,10,9,4,0,1,0,10
51,Mohandeseen,49913,2,1,1,10,8,6,4,3,9,0,1,0,4
52,Sheikh Zayed,23249,1,1,1,10,5,8,9,4,10,0,1,0,7
53,Maadi,39343,3,1,0,4,5,4,1,10,10,1,1,0,8
54,Heliopolis,16714,4,0,0,2,5,7,10,7,3,0,1,0,9
55,Madinaty,42953,3,1,0,3,7,2,10,3,9,1,1,1,9
56,Sheikh Zayed,12656,5,1,0,9,5,7,10,10,9,1,1,1,7
57,Haram,9741,5,1,0,8,8,6,3,8,4,0,1,1,7
58,El Shorouk,20661,1,1,0,2,3,3,5,8,2,1,1,1,10
59,Maadi,35555,5,1,0,4,3,5,3,3,2,0,0,1,6
60,Madinaty,32690,5,0,0,9,6,8,10,5,5,0,1,1,10
61,Sheikh Zayed,36833,2,1,1,8,7,7,7,5,10,0,1,0,7
62,Mokattam,41030,2,1,0,6,8,7,8,4,10,1,0,0,4
63,Shoubra,9704,3,0,0,4,10,10,10,6,3,0,0,0,9
64,Downtown Cairo,45362,3,0,0,8,9,3,8,7,8,0,1,0,5
65,Mohandeseen,16175,2,1,0,6,6,2,4,7,2,0,0,0,9
66,Mokattam,16696,1,0,0,2,3,3,2,3,6,1,0,0,8
67,Mohandeseen,43023,2,0,0,6,5,4,7,10,6,0,1,0,9
68,Shoubra,44209,3,1,0,4,5,10,1,10,9,0,0,0,9
69,El Obour,32054,4,1,0,3,4,10,9,3,10,0,0,0,9
70,Haram,25076,5,1,0,4,7,6,5,3,4,0,0,0,5
71,Downtown Cairo,18986,4,0,0,5,4,8,10,10,7,0,0,0,10
72,El Obour,18440,4,0,0,2,7,4,4,8,8,0,0,0,8
73,6th of October,11960,5,1,1,5,7,3,4,5,7,0,0,0,9
74,Downtown Cairo,26462,2,1,0,10,5,7,9,8,10,0,1,0,4
75,El Obour,21821,1,0,0,2,5,7,1,8,5,0,0,0,4
76,Zamalek,31258,4,1,0,8,6,6,4,3,2,1,1,0,5
77,Dokki,31353,1,1,0,9,3,2,6,4,5,1,1,0,6
78,6th of October,27416,3,0,1,10,3,3,8,3,7,1,1,0,8
79,Zamalek,26115,4,0,0,8,5,8,2,6,7,0,1,0,9
80,El Shorouk,28968,3,0,0,10,3,3,8,8,4,0,1,0,6
81,Mohandeseen,26731,2,1,0,4,7,6,9,3,3,0,1,0,9
82,Al Rehab,26785,4,0,1,2,3,5,8,9,9,0,1,0,10
83,Faisal,43397,3,1,1,3,8,2,5,7,10,0,1,0,4
84,Helwan,17828,3,1,1,2,10,6,1,7,5,0,1,0,7
85,Mohandeseen,8541,2,1,0,3,6,2,6,9,4,1,1,1,8
86,New Cairo,44644,1,0,1,10,3,4,7,3,2,1,1,1,8
87,New Cairo,17311,1,1,0,6,3,10,9,7,3,0,1,1,4
88,Zamalek,34531,4,1,0,5,9,8,9,9,9,0,1,0,6
89,Nasr City,18588,2,1,1,3,6,3,5,3,7,0,0,0,7
90,Madinaty,16380,4,1,1,4,6,6,10,8,7,1,1,1,10
91,Dokki,46645,1,1,0,10,5,5,9,3,2,0,1,1,5
92,6th of October,21818,2,1,1,4,6,8,4,8,9,1,0,0,7
93,Dokki,34857,5,0,0,9,8,5,5,5,7,0,1,1,6
94,6th of October,25711,2,1,0,2,5,10,6,8,5,0,1,1,9
95,Mohandeseen,9097,2,1,1,6,7,4,1,5,4,0,1,0,10
96,El Shorouk,32393,5,1,0,3,4,7,10,7,7,0,1,0,4
97,Maadi,26076,3,0,0,5,10,6,5,7,4,0,1,0,10
98,Zamalek,22738,3,0,0,3,3,9,10,9,5,0,1,0,7
99,Shoubra,33317,3,1,0,4,6,2,4,4,9,0,1,0,5
100,Nasr City,43229,1,0,0,6,10,3,1,8,8,0,1,1,10
101,New Cairo,11044,2,1,0,3,3,8,8,8,8,1,1,1,6
102,El Shorouk,9497,5,1,1,10,7,2,5,4,7,0,1,0,9
103,Mohandeseen,17751,1,1,0,9,4,6,9,3,9,0,1,0,10
104,New Cairo,33882,5,0,0,6,6,9,9,4,10,0,1,1,7
105,Zamalek,46072,1,0,1,2,9,6,6,6,2,0,0,0,10
106,New Cairo,47194,1,1,0,6,5,6,10,5,4,1,1,0,7
107,Nasr City,47826,1,1,0,5,5,10,9,8,9,0,1,0,7
108,Downtown Cairo,26449,5,1,0,10,6,6,5,9,2,0,0,0,9
109,Mokattam,48028,4,1,0,3,6,2,2,9,10,0,1,1,9
110,New Cairo,37402,1,1,1,8,7,4,9,7,2,1,1,0,4
111,Zamalek,36543,3,0,0,3,4,6,5,9,10,0,1,1,7
112,Nasr City,33362,2,1,0,4,6,9,3,4,8,0,1,0,10
113,Mokattam,31315,4,0,0,4,5,3,6,6,7,0,0,1,10
114,Dokki,31746,4,0,0,9,10,5,9,4,10,0,0,0,4
115,6th of October,14057,5,1,1,3,4,5,1,7,5,0,0,1,10
116,Downtown Cairo,46915,4,1,0,2,6,4,4,4,6,0,0,0,5
117,Downtown Cairo,25061,5,1,0,7,4,7,4,5,3,0,1,0,9
118,Madinaty,38157,5,0,1,7,7,3,10,10,4,1,1,0,4
119,El Obour,49839,3,0,0,2,8,4,2,8,8,0,1,0,10
120,Faisal,15322,1,0,1,6,9,3,8,9,6,1,1,0,5
121,Dokki,8276,4,1,0,10,6,9,6,4,9,0,0,0,8
122,Helwan,16306,1,0,0,6,6,3,4,6,4,0,1,1,8
123,New Capital,38017,1,1,0,8,9,6,7,8,4,0,1,1,9
124,Sheikh Zayed,31742,1,1,1,7,4,5,8,4,2,1,1,0,5
125,Nasr City,35600,5,1,1,5,6,2,7,9,2,1,1,0,9
126,Dokki,21629,1,1,1,3,10,8,9,10,3,0,1,1,4
127,El Obour,12245,4,1,0,6,4,7,2,9,8,0,1,1,10
128,Downtown Cairo,35414,5,1,0,10,8,2,8,7,10,0,1,0,4
129,Al Rehab,47870,4,1,0,4,4,10,10,9,7,0,1,1,6
130,Sheikh Zayed,34098,5,0,1,4,6,5,9,10,6,1,1,1,8
131,El Obour,14588,2,1,0,8,5,2,8,9,5,0,1,1,4
132,Dokki,4442,2,1,0,3,9,9,1,4,5,1,0,0,6
133,Faisal,43744,2,0,0,9,7,2,7,6,8,0,1,0,10
134,Maadi,41443,2,1,0,8,4,3,9,10,2,0,0,0,9
135,Madinaty,15803,5,1,0,9,5,6,8,4,7,0,1,0,8
136,El Obour,44721,1,0,0,7,4,2,6,3,2,0,0,0,9
137,Heliopolis,41145,3,1,0,6,10,2,9,7,5,0,0,1,4
138,El Shorouk,14599,3,0,0,5,5,7,2,3,7,1,0,0,5
139,El Shorouk,11058,2,0,1,9,6,2,4,8,3,0,1,0,7
140,New Capital,21206,1,1,0,3,7,6,8,3,6,1,1,1,7
141,Al Rehab,15894,4,1,1,7,9,6,7,8,5,0,1,0,8
142,Dokki,6939,1,1,1,7,5,3,9,10,4,0,1,0,9
143,Zamalek,26149,4,0,0,6,3,4,3,8,7,0,0,1,9
144,Zamalek,5031,3,1,0,3,4,4,6,7,8,1,1,0,10
145,New Capital,14208,1,0,0,6,5,4,7,9,3,0,1,1,10
146,El Obour,4562,1,1,0,4,7,4,3,7,7,0,1,0,6
147,6th of October,47498,3,1,0,8,10,5,6,6,2,0,1,0,10
148,New Cairo,24951,1,1,0,8,7,2,9,6,5,1,1,1,9
149,Dokki,32351,4,0,0,9,10,5,5,6,7,0,1,0,9
150,Heliopolis,22680,1,1,0,10,7,5,2,3,4,0,1,0,8
151,Mohandeseen,25586,4,1,0,2,9,9,8,8,10,0,1,0,9
152,6th of October,13308,2,0,1,5,8,5,7,4,4,0,1,0,6
153,Nasr City,13609,1,0,0,7,5,6,7,5,5,0,1,0,5
154,Zamalek,33495,4,1,0,8,5,5,10,4,6,1,0,0,10
155,Faisal,21675,3,1,0,6,6,6,4,5,9,0,1,1,7
156,Madinaty,32064,2,1,0,7,9,4,7,10,3,1,1,0,10
157,El Shorouk,12720,1,0,0,2,3,4,3,5,5,1,1,0,9
158,Downtown Cairo,46940,4,1,0,6,8,9,10,5,3,1,1,1,4
159,6th of October,18457,1,0,0,3,5,2,4,5,4,0,1,1,6
160,New Capital,6939,4,1,0,3,8,4,8,7,4,1,1,0,10
161,Helwan,42203,1,1,0,2,6,3,3,6,8,0,1,0,9
162,Helwan,27365,2,1,0,10,9,7,1,7,6,0,0,1,4
163,New Capital,9392,2,1,1,5,4,9,7,10,3,1,1,0,6
164,El Shorouk,29905,1,1,0,5,3,7,8,3,7,1,1,0,4
165,Dokki,11972,1,1,0,10,8,5,8,7,5,0,0,1,7
166,Maadi,34653,5,0,0,6,7,4,1,10,3,0,1,0,9
167,New Cairo,30329,1,0,0,5,3,5,9,6,4,0,1,0,8
168,Helwan,23184,1,0,0,8,10,9,2,4,3,1,1,1,7
169,Nasr City,18799,2,1,0,6,4,10,1,9,5,1,0,0,6
170,Helwan,19052,1,1,1,9,9,9,2,6,4,0,0,0,7
171,Helwan,10044,3,1,0,4,9,10,1,4,9,0,1,0,8
172,Helwan,23871,1,0,0,9,5,9,5,3,5,0,0,0,8
173,Maadi,27767,5,0,0,7,5,6,10,9,4,0,1,1,9
174,Maadi,24234,4,0,0,10,8,6,6,5,10,1,1,1,9
175,Nasr City,25381,2,0,0,7,6,2,8,8,10,0,1,0,9
176,Zamalek,21274,3,1,0,5,5,9,10,7,4,0,1,0,4
177,Zamalek,26304,4,0,1,3,5,3,8,10,5,0,1,0,5
178,Faisal,21572,3,0,0,4,3,7,4,8,8,1,1,0,9
179,Maadi,42412,2,0,0,8,4,7,3,5,4,0,0,0,5
180,El Shorouk,29965,5,1,1,6,7,5,5,3,10,0,1,0,6
181,Heliopolis,22384,2,1,1,8,7,10,8,3,8,0,1,0,6
182,Sheikh Zayed,21855,3,1,0,8,6,4,9,4,7,0,1,1,10
183,Al Rehab,21920,3,0,1,7,9,9,8,4,7,1,1,1,5
184,Helwan,20702,2,1,1,3,9,3,7,8,9,0,1,1,6
185,Heliopolis,41921,1,1,1,6,4,6,4,3,10,0,1,0,8
186,Nasr City,5894,2,0,1,7,3,7,2,10,4,0,1,0,5
187,New Capital,34985,5,0,1,9,9,3,10,6,4,0,1,0,4
188,Maadi,32287,2,0,0,2,10,8,10,5,9,0,1,0,7
189,Heliopolis,11991,4,1,1,8,7,6,2,7,4,1,1,0,4
190,Al Rehab,19439,1,0,0,6,10,5,10,10,5,1,1,0,8
191,Shoubra,33084,4,1,0,8,10,5,8,3,8,0,1,1,8
192,Shoubra,46235,2,0,0,4,10,3,10,7,8,0,0,0,7
193,Zamalek,31659,1,1,1,5,9,10,6,3,3,0,1,0,4
194,6th of October,28976,4,0,0,3,6,2,5,4,3,0,0,1,8
195,Heliopolis,42703,4,1,1,7,10,2,3,10,5,0,1,0,9
196,Shoubra,21107,1,1,0,6,5,5,7,4,6,0,1,0,7
197,New Cairo,6329,1,1,0,2,5,4,7,9,7,0,1,0,9
198,New Capital,46095,3,0,0,2,9,10,7,3,8,1,1,0,4
199,Sheikh Zayed,6770,1,0,0,9,8,8,10,7,4,0,1,1,9
200,Faisal,8846,2,1,1,9,3,3,8,5,2,0,1,1,8
201,New Cairo,20651,5,0,0,7,7,5,10,10,3,0,1,0,5
202,Faisal,18633,3,1,0,10,8,6,1,3,2,0,0,0,7
203,New Capital,17628,1,1,0,2,8,5,8,3,3,0,1,0,9
204,Dokki,4569,5,1,1,9,8,5,7,10,7,0,1,0,5
205,New Capital,5973,3,0,1,3,5,5,7,9,8,0,1,0,7
206,6th of October,39590,2,1,0,9,6,9,10,9,9,0,1,0,8
207,Zamalek,37038,5,1,0,4,9,8,3,10,9,0,0,0,8
208,Mohandeseen,11641,1,1,0,7,6,5,3,6,8,0,0,0,5
209,Dokki,12930,1,1,0,8,7,2,4,9,3,0,1,1,7
210,Haram,10680,2,1,0,4,10,7,5,9,10,1,1,0,6
211,Mohandeseen,5257,3,1,1,3,8,6,5,3,6,0,0,0,4
212,Zamalek,12250,5,1,1,2,3,6,5,9,5,0,1,0,4
213,Al Rehab,42138,2,1,0,6,6,7,9,9,3,1,1,0,4
214,Haram,32757,3,1,1,2,4,9,1,8,9,1,0,0,4
215,Madinaty,8858,4,1,0,2,6,7,8,4,5,1,1,1,8
216,New Cairo,45349,4,0,0,6,10,7,7,9,2,1,1,1,7
217,Dokki,17491,3,1,0,4,10,8,5,6,7,0,0,0,5
218,Shoubra,29294,1,1,0,4,3,9,8,9,5,0,0,0,9
219,Shoubra,49204,1,1,0,8,10,5,8,6,8,0,1,0,10
